"","brand","therapeutic_area"
"1","brand_1","Nervous_system"
"2","brand_2","Respiratory_and_Immuno_inflammatory"
"3","brand_3","Cardiovascular_Metabolic"
"4","brand_4","Cardiovascular_Metabolic"
"5","brand_5","Cardiovascular_Metabolic"
"6","brand_6","Cardiovascular_Metabolic"
"7","brand_7","Cardiovascular_Metabolic"
"8","brand_8","Muscoskeletal_Rheumatology_and_Osteology"
"9","brand_9","Nervous_system"
"10","brand_10","Muscoskeletal_Rheumatology_and_Osteology"
"11","brand_11","Muscoskeletal_Rheumatology_and_Osteology"
"12","brand_12","Endocrinology_and_Metabolic_Disease"
"13","brand_13","Sensory_organs"
"14","brand_14","Cardiovascular_Metabolic"
"15","brand_15","Cardiovascular_Metabolic"
"16","brand_16","Muscoskeletal_Rheumatology_and_Osteology"
"17","brand_17","Respiratory_and_Immuno_inflammatory"
"18","brand_18","Dermatology"
"19","brand_19","Respiratory_and_Immuno_inflammatory"
"20","brand_20","Antineoplastic_and_immunology"
"21","brand_21","Respiratory_and_Immuno_inflammatory"
"22","brand_22","Respiratory_and_Immuno_inflammatory"
"23","brand_23","Cardiovascular_Metabolic"
"24","brand_24","Nervous_system"
"25","brand_25","Obstetrics_Gynaecology"
"26","brand_26","Endocrinology_and_Metabolic_Disease"
"27","brand_27","Sensory_organs"
"28","brand_28","Cardiovascular_Metabolic"
"29","brand_29","Sensory_organs"
"30","brand_30","Endocrinology_and_Metabolic_Disease"
"31","brand_31","Cardiovascular_Metabolic"
"32","brand_32","Cardiovascular_Metabolic"
"33","brand_33","Endocrinology_and_Metabolic_Disease"
"34","brand_34","Obstetrics_Gynaecology"
"35","brand_35","Obstetrics_Gynaecology"
"36","brand_36","Nervous_system"
"37","brand_37","Haematology"
"38","brand_38","Haematology"
"39","brand_39","Haematology"
"40","brand_40","Cardiovascular_Metabolic"
"41","brand_42","Cardiovascular_Metabolic"
"42","brand_41","Nervous_system"
"43","brand_43","Cardiovascular_Metabolic"
"44","brand_44","Antineoplastic_and_immunology"
"45","brand_45","Muscoskeletal_Rheumatology_and_Osteology"
"46","brand_46","Nervous_system"
"47","brand_47","Antineoplastic_and_immunology"
"48","brand_48","Haematology"
"49","brand_49","Antineoplastic_and_immunology"
"50","brand_50","Muscoskeletal_Rheumatology_and_Osteology"
"51","brand_51","Endocrinology_and_Metabolic_Disease"
"52","brand_52","Respiratory_and_Immuno_inflammatory"
"53","brand_53","Cardiovascular_Metabolic"
"54","brand_54","Cardiovascular_Metabolic"
"55","brand_55","Anti_infectives"
"56","brand_56","Anti_infectives"
"57","brand_57","Obstetrics_Gynaecology"
"58","brand_58","Nervous_system"
"59","brand_59","Obstetrics_Gynaecology"
"60","brand_60","Nervous_system"
"61","brand_61","Nervous_system"
"62","brand_62","Respiratory_and_Immuno_inflammatory"
"63","brand_63","Sensory_organs"
"64","brand_64","Cardiovascular_Metabolic"
"65","brand_65","Anti_infectives"
"66","brand_66","Cardiovascular_Metabolic"
"67","brand_67","Cardiovascular_Metabolic"
"68","brand_68","Nervous_system"
"69","brand_69","Cardiovascular_Metabolic"
"70","brand_70","Cardiovascular_Metabolic"
"71","brand_71","Cardiovascular_Metabolic"
"72","brand_72","Muscoskeletal_Rheumatology_and_Osteology"
"73","brand_73","Muscoskeletal_Rheumatology_and_Osteology"
"74","brand_74","Antineoplastic_and_immunology"
"75","brand_75","Antineoplastic_and_immunology"
"76","brand_76","Cardiovascular_Metabolic"
"77","brand_77","Cardiovascular_Metabolic"
"78","brand_78","Cardiovascular_Metabolic"
"79","brand_79","Nervous_system"
"80","brand_80","Antineoplastic_and_immunology"
"81","brand_81","Antineoplastic_and_immunology"
"82","brand_82","Anti_infectives"
"83","brand_83","Nervous_system"
"84","brand_84","Cardiovascular_Metabolic"
"85","brand_85","Cardiovascular_Metabolic"
"86","brand_86","Muscoskeletal_Rheumatology_and_Osteology"
"87","brand_87","Antineoplastic_and_immunology"
"88","brand_88","Muscoskeletal_Rheumatology_and_Osteology"
"89","brand_89","Antineoplastic_and_immunology"
"90","brand_90","Obstetrics_Gynaecology"
"91","brand_91","Nervous_system"
"92","brand_92","Nervous_system"
"93","brand_93","Nervous_system"
"94","brand_94","Obstetrics_Gynaecology"
"95","brand_95","Cardiovascular_Metabolic"
"96","brand_96","Cardiovascular_Metabolic"
"97","brand_97","Nervous_system"
"98","brand_98","Anti_infectives"
"99","brand_99","Respiratory_and_Immuno_inflammatory"
"100","brand_100","Dermatology"
"101","brand_101","Anti_infectives"
"102","brand_104","Cardiovascular_Metabolic"
"103","brand_105","Endocrinology_and_Metabolic_Disease"
"104","brand_106","Anti_infectives"
"105","brand_107","Obstetrics_Gynaecology"
"106","brand_108","Nervous_system"
"107","brand_109","Nervous_system"
"108","brand_110","Nervous_system"
"109","brand_111","Cardiovascular_Metabolic"
"110","brand_112","Nervous_system"
"111","brand_113","Anti_infectives"
"112","brand_114","Cardiovascular_Metabolic"
"113","brand_115","Sensory_organs"
"114","brand_116","Cardiovascular_Metabolic"
"115","brand_117","Cardiovascular_Metabolic"
"116","brand_102","Cardiovascular_Metabolic"
"117","brand_103","Cardiovascular_Metabolic"
"118","brand_118","Anti_infectives"
"119","brand_119","Cardiovascular_Metabolic"
"120","brand_120","Anti_infectives"
"121","brand_121","Nervous_system"
"122","brand_122","Anti_infectives"
"123","brand_123","Antineoplastic_and_immunology"
"124","brand_124","Dermatology"
"125","brand_125","Dermatology"
"126","brand_126","Dermatology"
"127","brand_127","Nervous_system"
"128","brand_128","Obstetrics_Gynaecology"
"129","brand_129","Endocrinology_and_Metabolic_Disease"
"130","brand_130","Sensory_organs"
"131","brand_131","Dermatology"
"132","brand_132","Cardiovascular_Metabolic"
"133","brand_133","Cardiovascular_Metabolic"
"134","brand_134","Systemic_Hormones"
"135","brand_135","Haematology"
"136","brand_136","Other"
"137","brand_137","Nervous_system"
"138","brand_138","Nervous_system"
"139","brand_139","Cardiovascular_Metabolic"
"140","brand_140","Nervous_system"
"141","brand_141","Nervous_system"
"142","brand_142","Haematology"
"143","brand_143","Cardiovascular_Metabolic"
"144","brand_144","Dermatology"
"145","brand_145","Antineoplastic_and_immunology"
"146","brand_146","Endocrinology_and_Metabolic_Disease"
"147","brand_147","Obstetrics_Gynaecology"
"148","brand_148","Muscoskeletal_Rheumatology_and_Osteology"
"149","brand_149","Antineoplastic_and_immunology"
"150","brand_150","Nervous_system"
"151","brand_151","Endocrinology_and_Metabolic_Disease"
"152","brand_152","Dermatology"
"153","brand_153","Anti_infectives"
"154","brand_154","Anti_infectives"
"155","brand_155","Haematology"
"156","brand_156","Nervous_system"
"157","brand_157","Muscoskeletal_Rheumatology_and_Osteology"
"158","brand_158","Obstetrics_Gynaecology"
"159","brand_159","Obstetrics_Gynaecology"
"160","brand_160","Obstetrics_Gynaecology"
"161","brand_161","Endocrinology_and_Metabolic_Disease"
"162","brand_162","Nervous_system"
"163","brand_163","Cardiovascular_Metabolic"
"164","brand_164","Other"
"165","brand_165","Anti_infectives"
"166","brand_166","Nervous_system"
"167","brand_167","Antineoplastic_and_immunology"
"168","brand_168","Obstetrics_Gynaecology"
"169","brand_169","Cardiovascular_Metabolic"
"170","brand_170","Anti_infectives"
"171","brand_171","Nervous_system"
"172","brand_172","Muscoskeletal_Rheumatology_and_Osteology"
"173","brand_173","Muscoskeletal_Rheumatology_and_Osteology"
"174","brand_174","Muscoskeletal_Rheumatology_and_Osteology"
"175","brand_175","Cardiovascular_Metabolic"
"176","brand_176","Cardiovascular_Metabolic"
"177","brand_177","Cardiovascular_Metabolic"
"178","brand_178","Cardiovascular_Metabolic"
"179","brand_179","Cardiovascular_Metabolic"
"180","brand_180","Cardiovascular_Metabolic"
"181","brand_181","Nervous_system"
"182","brand_182","Nervous_system"
"183","brand_183","Nervous_system"
"184","brand_184","Endocrinology_and_Metabolic_Disease"
"185","brand_185","Antineoplastic_and_immunology"
"186","brand_186","Cardiovascular_Metabolic"
"187","brand_187","Antineoplastic_and_immunology"
"188","brand_188","Endocrinology_and_Metabolic_Disease"
"189","brand_189","Endocrinology_and_Metabolic_Disease"
"190","brand_190","Endocrinology_and_Metabolic_Disease"
"191","brand_191","Obstetrics_Gynaecology"
"192","brand_192","Cardiovascular_Metabolic"
"193","brand_193","Antineoplastic_and_immunology"
"194","brand_194","Antineoplastic_and_immunology"
"195","brand_195","Cardiovascular_Metabolic"
"196","brand_196","Cardiovascular_Metabolic"
"197","brand_197","Nervous_system"
"198","brand_198","Cardiovascular_Metabolic"
"199","brand_199","Haematology"
"200","brand_200","Cardiovascular_Metabolic"
"201","brand_201","Haematology"
"202","brand_202","Obstetrics_Gynaecology"
"203","brand_203","Nervous_system"
"204","brand_204","Nervous_system"
"205","brand_205","Sensory_organs"
"206","brand_206","Cardiovascular_Metabolic"
"207","brand_207","Antineoplastic_and_immunology"
"208","brand_208","Nervous_system"
"209","brand_209","Nervous_system"
"210","brand_210","Nervous_system"
"211","brand_211","Nervous_system"
"212","brand_212","Cardiovascular_Metabolic"
"213","brand_213","Cardiovascular_Metabolic"
"214","brand_214","Cardiovascular_Metabolic"
"215","brand_215","Nervous_system"
"216","brand_216","Muscoskeletal_Rheumatology_and_Osteology"
"217","brand_217","Cardiovascular_Metabolic"
"218","brand_218","Cardiovascular_Metabolic"
"219","brand_219","Respiratory_and_Immuno_inflammatory"
"220","brand_220","Anti_infectives"
"221","brand_221","Cardiovascular_Metabolic"
"222","brand_222","Endocrinology_and_Metabolic_Disease"
"223","brand_223","Cardiovascular_Metabolic"
"224","brand_224","Cardiovascular_Metabolic"
"225","brand_225","Cardiovascular_Metabolic"
"226","brand_226","Nervous_system"
"227","brand_227","Anti_infectives"
"228","brand_228","Endocrinology_and_Metabolic_Disease"
"229","brand_229","Endocrinology_and_Metabolic_Disease"
"230","brand_230","Cardiovascular_Metabolic"
"231","brand_231","Cardiovascular_Metabolic"
"232","brand_232","Cardiovascular_Metabolic"
"233","brand_233","Anti_infectives"
"234","brand_234","Nervous_system"
"235","brand_235","Nervous_system"
"236","brand_236","Cardiovascular_Metabolic"
"237","brand_237","Cardiovascular_Metabolic"
"238","brand_238","Dermatology"
"239","brand_239","Cardiovascular_Metabolic"
"240","brand_240","Cardiovascular_Metabolic"
"241","brand_241","Endocrinology_and_Metabolic_Disease"
"242","brand_242","Cardiovascular_Metabolic"
"243","brand_243","Nervous_system"
"244","brand_244","Obstetrics_Gynaecology"
"245","brand_245","Nervous_system"
"246","brand_246","Dermatology"
"247","brand_247","Cardiovascular_Metabolic"
"248","brand_248","Nervous_system"
"249","brand_249","Antineoplastic_and_immunology"
"250","brand_250","Parasitology"
"251","brand_251","Nervous_system"
"252","brand_252","Nervous_system"
"253","brand_253","Anti_infectives"
"254","brand_254","Antineoplastic_and_immunology"
"255","brand_255","Endocrinology_and_Metabolic_Disease"
"256","brand_256","Nervous_system"
"257","brand_257","Anti_infectives"
"258","brand_258","Anti_infectives"
"259","brand_259","Cardiovascular_Metabolic"
"260","brand_260","Cardiovascular_Metabolic"
"261","brand_261","Dermatology"
"262","brand_262","Sensory_organs"
"263","brand_263","Obstetrics_Gynaecology"
"264","brand_264","Cardiovascular_Metabolic"
"265","brand_265","Respiratory_and_Immuno_inflammatory"
"266","brand_266","Respiratory_and_Immuno_inflammatory"
"267","brand_267","Endocrinology_and_Metabolic_Disease"
"268","brand_268","Respiratory_and_Immuno_inflammatory"
"269","brand_269","Antineoplastic_and_immunology"
"270","brand_270","Cardiovascular_Metabolic"
"271","brand_271","Nervous_system"
"272","brand_272","Nervous_system"
"273","brand_273","Nervous_system"
"274","brand_274","Nervous_system"
"275","brand_275","Respiratory_and_Immuno_inflammatory"
"276","brand_276","Antineoplastic_and_immunology"
"277","brand_277","Cardiovascular_Metabolic"
"278","brand_278","Cardiovascular_Metabolic"
"279","brand_280","Antineoplastic_and_immunology"
"280","brand_279","Cardiovascular_Metabolic"
"281","brand_281","Antineoplastic_and_immunology"
"282","brand_282","Endocrinology_and_Metabolic_Disease"
"283","brand_283","Nervous_system"
"284","brand_284","Muscoskeletal_Rheumatology_and_Osteology"
"285","brand_285","Cardiovascular_Metabolic"
"286","brand_286","Cardiovascular_Metabolic"
"287","brand_287","Obstetrics_Gynaecology"
"288","brand_288","Obstetrics_Gynaecology"
"289","brand_289","Nervous_system"
"290","brand_290","Cardiovascular_Metabolic"
"291","brand_291","Endocrinology_and_Metabolic_Disease"
"292","brand_292","Obstetrics_Gynaecology"
"293","brand_293","Nervous_system"
"294","brand_294","Obstetrics_Gynaecology"
"295","brand_295","Cardiovascular_Metabolic"
"296","brand_296","Cardiovascular_Metabolic"
"297","brand_297","Dermatology"
"298","brand_298","Sensory_organs"
"299","brand_299","Muscoskeletal_Rheumatology_and_Osteology"
"300","brand_300","Sensory_organs"
"301","brand_301","Obstetrics_Gynaecology"
"302","brand_302","Obstetrics_Gynaecology"
"303","brand_303","Nervous_system"
"304","brand_304","Nervous_system"
"305","brand_305","Nervous_system"
"306","brand_306","Cardiovascular_Metabolic"
"307","brand_307","Endocrinology_and_Metabolic_Disease"
"308","brand_308","Cardiovascular_Metabolic"
"309","brand_309","Cardiovascular_Metabolic"
"310","brand_310","Endocrinology_and_Metabolic_Disease"
"311","brand_311","Sensory_organs"
"312","brand_312","Endocrinology_and_Metabolic_Disease"
"313","brand_313","Nervous_system"
"314","brand_314","Respiratory_and_Immuno_inflammatory"
"315","brand_315","Haematology"
"316","brand_316","Haematology"
"317","brand_317","Cardiovascular_Metabolic"
"318","brand_318","Haematology"
"319","brand_319","Cardiovascular_Metabolic"
"320","brand_320","Endocrinology_and_Metabolic_Disease"
"321","brand_321","Cardiovascular_Metabolic"
"322","brand_322","Cardiovascular_Metabolic"
"323","brand_323","Cardiovascular_Metabolic"
"324","brand_324","Cardiovascular_Metabolic"
"325","brand_325","Nervous_system"
"326","brand_326","Cardiovascular_Metabolic"
"327","brand_327","Cardiovascular_Metabolic"
"328","brand_328","Cardiovascular_Metabolic"
"329","brand_329","Antineoplastic_and_immunology"
"330","brand_330","Endocrinology_and_Metabolic_Disease"
"331","brand_331","Nervous_system"
"332","brand_332","Dermatology"
"333","brand_333","Obstetrics_Gynaecology"
"334","brand_334","Endocrinology_and_Metabolic_Disease"
"335","brand_335","Endocrinology_and_Metabolic_Disease"
"336","brand_336","Dermatology"
"337","brand_337","Nervous_system"
"338","brand_338","Cardiovascular_Metabolic"
"339","brand_339","Dermatology"
"340","brand_340","Respiratory_and_Immuno_inflammatory"
"341","brand_341","Cardiovascular_Metabolic"
"342","brand_342","Cardiovascular_Metabolic"
"343","brand_343","Nervous_system"
"344","brand_344","Antineoplastic_and_immunology"
"345","brand_345","Anti_infectives"
"346","brand_346","Sensory_organs"
"347","brand_347","Nervous_system"
"348","brand_348","Antineoplastic_and_immunology"
"349","brand_349","Nervous_system"
"350","brand_350","Other"
"351","brand_351","Other"
"352","brand_352","Nervous_system"
"353","brand_353","Sensory_organs"
"354","brand_354","Cardiovascular_Metabolic"
"355","brand_355","Anti_infectives"
"356","brand_356","Nervous_system"
"357","brand_357","Nervous_system"
"358","brand_358","Cardiovascular_Metabolic"
"359","brand_359","Nervous_system"
"360","brand_360","Respiratory_and_Immuno_inflammatory"
"361","brand_361","Obstetrics_Gynaecology"
"362","brand_362","Antineoplastic_and_immunology"
"363","brand_363","Systemic_Hormones"
"364","brand_364","Nervous_system"
"365","brand_365","Endocrinology_and_Metabolic_Disease"
"366","brand_366","Systemic_Hormones"
"367","brand_367","Respiratory_and_Immuno_inflammatory"
"368","brand_368","Nervous_system"
"369","brand_369","Endocrinology_and_Metabolic_Disease"
"370","brand_370","Nervous_system"
"371","brand_371","Nervous_system"
"372","brand_372","Muscoskeletal_Rheumatology_and_Osteology"
"373","brand_373","Respiratory_and_Immuno_inflammatory"
"374","brand_374","Nervous_system"
"375","brand_375","Respiratory_and_Immuno_inflammatory"
"376","brand_376","Nervous_system"
"377","brand_377","Endocrinology_and_Metabolic_Disease"
"378","brand_378","Endocrinology_and_Metabolic_Disease"
"379","brand_379","Nervous_system"
"380","brand_380","Nervous_system"
"381","brand_381","Nervous_system"
"382","brand_382","Anti_infectives"
"383","brand_383","Respiratory_and_Immuno_inflammatory"
"384","brand_384","Nervous_system"
"385","brand_385","Endocrinology_and_Metabolic_Disease"
"386","brand_386","Anti_infectives"
"387","brand_387","Cardiovascular_Metabolic"
"388","brand_388","Antineoplastic_and_immunology"
"389","brand_389","Cardiovascular_Metabolic"
"390","brand_390","Nervous_system"
"391","brand_391","Anti_infectives"
"392","brand_392","Antineoplastic_and_immunology"
"393","brand_393","Anti_infectives"
"394","brand_394","Nervous_system"
"395","brand_395","Muscoskeletal_Rheumatology_and_Osteology"
"396","brand_396","Respiratory_and_Immuno_inflammatory"
"397","brand_397","Antineoplastic_and_immunology"
"398","brand_398","Cardiovascular_Metabolic"
"399","brand_399","Obstetrics_Gynaecology"
"400","brand_400","Cardiovascular_Metabolic"
"401","brand_401","Cardiovascular_Metabolic"
"402","brand_402","Obstetrics_Gynaecology"
"403","brand_403","Anti_infectives"
"404","brand_404","Sensory_organs"
"405","brand_405","Nervous_system"
"406","brand_406","Cardiovascular_Metabolic"
"407","brand_407","Nervous_system"
"408","brand_408","Nervous_system"
"409","brand_409","Antineoplastic_and_immunology"
"410","brand_410","Cardiovascular_Metabolic"
"411","brand_411","Cardiovascular_Metabolic"
"412","brand_412","Obstetrics_Gynaecology"
"413","brand_413","Nervous_system"
"414","brand_414","Nervous_system"
"415","brand_415","Sensory_organs"
"416","brand_416","Cardiovascular_Metabolic"
"417","brand_417","Nervous_system"
"418","brand_418","Cardiovascular_Metabolic"
"419","brand_419","Nervous_system"
"420","brand_420","Sensory_organs"
"421","brand_421","Anti_infectives"
"422","brand_422","Antineoplastic_and_immunology"
"423","brand_423","Cardiovascular_Metabolic"
"424","brand_424","Nervous_system"
"425","brand_425","Nervous_system"
"426","brand_426","Obstetrics_Gynaecology"
"427","brand_427","Obstetrics_Gynaecology"
"428","brand_428","Obstetrics_Gynaecology"
"429","brand_429","Anti_infectives"
"430","brand_430","Cardiovascular_Metabolic"
"431","brand_431","Anti_infectives"
"432","brand_432","Muscoskeletal_Rheumatology_and_Osteology"
"433","brand_433","Cardiovascular_Metabolic"
"434","brand_434","Cardiovascular_Metabolic"
"435","brand_435","Nervous_system"
"436","brand_436","Cardiovascular_Metabolic"
"437","brand_437","Obstetrics_Gynaecology"
"438","brand_438","Anti_infectives"
"439","brand_439","Obstetrics_Gynaecology"
"440","brand_440","Cardiovascular_Metabolic"
"441","brand_441","Antineoplastic_and_immunology"
"442","brand_442","Sensory_organs"
"443","brand_443","Anti_infectives"
"444","brand_444","Anti_infectives"
"445","brand_445","Dermatology"
"446","brand_446","Cardiovascular_Metabolic"
"447","brand_447","Parasitology"
"448","brand_448","Respiratory_and_Immuno_inflammatory"
"449","brand_449","Haematology"
"450","brand_450","Sensory_organs"
"451","brand_451","Sensory_organs"
"452","brand_452","Obstetrics_Gynaecology"
"453","brand_453","Antineoplastic_and_immunology"
"454","brand_454","Endocrinology_and_Metabolic_Disease"
"455","brand_455","Nervous_system"
"456","brand_456","Respiratory_and_Immuno_inflammatory"
"457","brand_457","Obstetrics_Gynaecology"
"458","brand_458","Obstetrics_Gynaecology"
"459","brand_459","Endocrinology_and_Metabolic_Disease"
"460","brand_460","Nervous_system"
"461","brand_461","Cardiovascular_Metabolic"
"462","brand_462","Antineoplastic_and_immunology"
"463","brand_463","Anti_infectives"
"464","brand_464","Endocrinology_and_Metabolic_Disease"
"465","brand_465","Nervous_system"
"466","brand_466","Nervous_system"
"467","brand_467","Systemic_Hormones"
"468","brand_468","Anti_infectives"
"469","brand_469","Cardiovascular_Metabolic"
"470","brand_470","Cardiovascular_Metabolic"
"471","brand_471","Cardiovascular_Metabolic"
"472","brand_472","Anti_infectives"
"473","brand_473","Cardiovascular_Metabolic"
"474","brand_474","Anti_infectives"
"475","brand_475","Endocrinology_and_Metabolic_Disease"
"476","brand_476","Nervous_system"
"477","brand_477","Muscoskeletal_Rheumatology_and_Osteology"
"478","brand_478","Nervous_system"
"479","brand_479","Nervous_system"
"480","brand_480","Anti_infectives"
"481","brand_481","Nervous_system"
"482","brand_482","Respiratory_and_Immuno_inflammatory"
"483","brand_483","Respiratory_and_Immuno_inflammatory"
"484","brand_484","Anti_infectives"
